,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,ID,Address,Venue,Venue Latitude,Venue Longitude,Venue Category
31,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,5914917fa3061963ecb7551a,2882 Kingston Rd,Dairy Queen Ltd Brazier,43.7226367,-79.2354522,Fast Food Restaurant
32,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4b71ea4bf964a520ea632de3,2850 Kingston Road (St Clair Ave E),Canadian Tire,43.72100515830479,-79.23778954268072,Furniture / Home Store
33,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4c952867533aa093f374c645,2893 KINGSTON ROAD (at Harewood Ave),Pizza Pizza,43.722490904836995,-79.23527706203652,Pizza Place
34,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4eb060409adff29daf3c7a58,3009 Kingston Rd,Subway,43.7267415276209,-79.23261160083861,Sandwich Place
35,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4c2bcdf18ef52d7f16fc31ba,2851 kingston Rd,Big Boy's Burger,43.721751,-79.236301,Burger Joint
36,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,5984776475a6ea2b65a87614,2963 Kingston Rd,LCBO,43.725183,-79.232039,Liquor Store
37,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4d5c1942ddac721e123c6afe,"2975 Kingston Rd,Cliffcrest Plaza (McCowan)",Dollarama,43.725135874377095,-79.23192870192648,Discount Store
38,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4eac648be3000d1f064b77b4,Kingston Rd.,Wild Wing,43.72110226026739,-79.23666536808014,Wings Joint
39,"Birch Cliff,Cliffside West",43.69666500000005,-79.26016331599999,4bf95b3b5317a593a218017f,Canada,Rosetta McLain Gardens,43.69701861855136,-79.25573911728534,Park
40,"Birch Cliff,Cliffside West",43.69666500000005,-79.26016331599999,4b2162a8f964a520133b24e3,93 Birchmount Rd.,Birchmount Community Centre,43.69517507509799,-79.26216087070237,General Entertainment
41,"Birch Cliff,Cliffside West",43.69666500000005,-79.26016331599999,4ae591a0f964a520eda021e3,3701 Danforth Avenue (Kingston Rd),Variety Village,43.69883533655271,-79.25795245225459,Gym
42,"Birch Cliff,Cliffside West",43.69666500000005,-79.26016331599999,4c0311459a7920a1a675cf79,93 Birchmount Rd. (at Kingston Rd.),Birchmount Stadium,43.695322867712626,-79.26129341125488,College Stadium
43,"Birch Cliff,Cliffside West",43.69666500000005,-79.26016331599999,4b9273ccf964a5209afa33e3,75 Birchmount Rd,Scarborough Gardens,43.6946465192162,-79.26223031725522,Skating Rink
44,"Birch Cliff,Cliffside West",43.69666500000005,-79.26016331599999,4d9772a829352d4363c9f4c1,3701 Danforth Avenue,Variety Village Sunshine Pool,43.69881350657984,-79.25661563873291,Gym Pool
45,"Dorset Park,Scarborough Town Centre,Wexford Heights",43.759975000000054,-79.26897402899993,4bc88e208b7c9c743b5538cf,1772 Midland Avenue,Calabria Bakery,43.7616699583205,-79.26950674263456,Bakery
46,"Dorset Park,Scarborough Town Centre,Wexford Heights",43.759975000000054,-79.26897402899993,4dbc21be0437955ec029bfd6,105 Midwest,Montmartre Bakery,43.75869874157778,-79.26773564785539,Bakery
47,"Dorset Park,Scarborough Town Centre,Wexford Heights",43.759975000000054,-79.26897402899993,4b920246f964a52045e333e3,300 Midwest Rd.,Mill St. Brewery,43.759471599836886,-79.27112102508545,Brewery
48,"Dorset Park,Scarborough Town Centre,Wexford Heights",43.759975000000054,-79.26897402899993,4eee45dc6c25c7f9d2f89d9a,1610 Midland Ave (Lawrence Ave),Aurora Fine China & Crystal,43.75715598493073,-79.26736129562715,Gift Shop
49,"Dorset Park,Scarborough Town Centre,Wexford Heights",43.759975000000054,-79.26897402899993,5d1bd580c1959800231ff9cc,Toronto ON M1P 3C3,Shiro Sushi,43.756228,-79.266965,Japanese Restaurant
50,"Maryvale,Wexford",43.750710464000065,-79.30055999999996,57f745dc498e32fba20af9f2,1256 Warden Ave,Scarborough Garage Door Repair,43.75128820404063,-79.30150777101517,Auto Garage
51,"Maryvale,Wexford",43.750710464000065,-79.30055999999996,4f6530a8e4b045fbd47f35e9,Toronto ON,Express Convenience,43.754732551782645,-79.29789911186526,Convenience Store
52,Agincourt,43.79394000000008,-79.26798280099996,50f0ce80e4b04c1745dbf872,175 Commander Blvd. (at Huntingwood Dr.),Bestco Food Market 鴻華超級市場,43.79651421770191,-79.27078952581387,Supermarket
53,Agincourt,43.79394000000008,-79.26798280099996,58388814809a776da0e00646,"2301 Brimley Rd, Unit 128 (at Huntingwood Dr)",Grandeur Palace 華丽宮 (Grandeur Palace 華麗宮),43.79788486462263,-79.27058461606062,Chinese Restaurant
54,Agincourt,43.79394000000008,-79.26798280099996,55bab35d498e93feca7164ad,2-175 Commander Blvd,Sushi Legend,43.79660174223094,-79.27029194166151,Sushi Restaurant
55,Agincourt,43.79394000000008,-79.26798280099996,4b0d8c32f964a520c94a23e3,23 Glen Watford Dr,Dragon Centre,43.79140985567744,-79.27208143544222,Shopping Mall
56,Agincourt,43.79394000000008,-79.26798280099996,4c87cbf733453704ead91572,2301 Brimley Rd. (in Chartwell Shopping Centre),Aromaz Cake and Pastry 龍騰閣,43.79771416449893,-79.27087037611898,Bakery
57,Agincourt,43.79394000000008,-79.26798280099996,4ada1c78f964a520881e21e3,31 Glen Watford Drive,Agincourt Recreation Centre,43.791396338935705,-79.2720753942384,Pool
58,Agincourt,43.79394000000008,-79.26798280099996,537682a2498e21d3bd145911,115 Commander Blvd,Commander Badminton,43.79354608557784,-79.26983515808065,Badminton Court
59,Agincourt,43.79394000000008,-79.26798280099996,4af71437f964a520940522e3,140 Commander Blvd.,Commander Arena,43.794867324063404,-79.26798888527924,Skating Rink
60,Agincourt,43.79394000000008,-79.26798280099996,53923acc498e2185a92cc37b,175 Commander Blvd.  Unit 1 (Chartwell Centre),Ding Tai Fung Shanghai Dim Sum 鼎泰豐,43.796615229023466,-79.26984392805066,Shanghai Restaurant
61,Agincourt,43.79394000000008,-79.26798280099996,4b71aa4bf964a520a4542de3,2301 Brimley Rd. (at Huntingwood Dr.),Chartwell Shopping Centre 集友商場,43.797767967729726,-79.27085281236347,Shopping Mall
62,Agincourt,43.79394000000008,-79.26798280099996,4e88c15ad5fb8ad9cef038dc,Scarborough (Glen Watford Dr. & Heather Rd.),Agincourt Park,43.79138276764456,-79.27209167655958,Park
63,Agincourt,43.79394000000008,-79.26798280099996,556370de498e139d9651f734,"2301 Brimley Rd, Unit #148B",Real Fruit Bubble Tea 真果茶坊,43.79720805753309,-79.27152312744279,Bubble Tea Shop
64,Agincourt,43.79394000000008,-79.26798280099996,52ed5a65498eb422af2da595,2301-2361 Brimley Rd,Prosperity Supermarket 集友超級市場,43.79774291475024,-79.27088638644835,Supermarket
65,Agincourt,43.79394000000008,-79.26798280099996,4f79f9c8e4b0f60afaff9f5d,2301 Brimley Rd. (at Huntingwood Dr.),Asian Specialty,43.797819,-79.270737,Vietnamese Restaurant
66,Agincourt,43.79394000000008,-79.26798280099996,51c63374498edcb7ef2050fb,2301 Brimley Rd,港島茶餐 Hong Kong Style Tea & Fast Food,43.797794342041016,-79.27088928222656,Hong Kong Restaurant
67,"Clarks Corners,Sullivan,Tam O'Shanter",43.78472500000004,-79.29904659999994,4cdc8e53d4ecb1f7843c8048,3587 Sheppard Ave E (Birchmount Rd),The Royal Chinese Restaurant 避風塘小炒,43.78050473445372,-79.29884391314476,Chinese Restaurant
68,"Clarks Corners,Sullivan,Tam O'Shanter",43.78472500000004,-79.29904659999994,56fdaefd498e27417498764c,3561 Sheppard Ave E (at Birchmount Ave),Kub Khao,43.780437780734204,-79.2998370364667,Thai Restaurant
69,"Clarks Corners,Sullivan,Tam O'Shanter",43.78472500000004,-79.29904659999994,4e2b4705d164223a69808a57,3591 B Sheppard Ave East,Little Caesars,43.78056271894292,-79.2986242771319,Pizza Place
70,"Clarks Corners,Sullivan,Tam O'Shanter",43.78472500000004,-79.29904659999994,4c6de1ace6b7b1f7d842ab8e,1 Bonis Ave. (at Birchmount Rd.),Gusto Pizza,43.78360724036883,-79.29898327417831,Pizza Place
71,"Clarks Corners,Sullivan,Tam O'Shanter",43.78472500000004,-79.29904659999994,55df8b85498e0f5928e3e054,3591 Sheppard Ave East (Birchmount),Popeyes Louisiana Kitchen,43.780476,-79.29846,Fried Chicken Joint
72,"Clarks Corners,Sullivan,Tam O'Shanter",43.78472500000004,-79.29904659999994,4ad4c064f964a52085f820e3,2481 Birchmount Road,Tam O'Shanter Golf Course,43.78692872451217,-79.29941253293568,Golf Course
73,"Clarks Corners,Sullivan,Tam O'Shanter",43.78472500000004,-79.29904659999994,4b22d932f964a520af4e24e3,3850 Sheppard Ave (Kennedy Rd),Tim Hortons,43.7838083,-79.293351,Coffee Shop
74,"Clarks Corners,Sullivan,Tam O'Shanter",43.78472500000004,-79.29904659999994,4f6642cee4b0e78c024381e4,Sheppard Ave. E at Birchmount Rd. (Eastbound/Westbound),TTC Stop #7154/5,43.7808523815725,-79.29785496387679,Bus Stop
75,"Clarks Corners,Sullivan,Tam O'Shanter",43.78472500000004,-79.29904659999994,4cdd55d1d549548106c046b2,Canada,Rexall,43.78073190083844,-79.2982568317862,Pharmacy
76,"Clarks Corners,Sullivan,Tam O'Shanter",43.78472500000004,-79.29904659999994,4bf461a36a31d13a3bb2952e,3850 Sheppard Avenue East (in Agincourt Mall),A K Sports Cards & Comics,43.784034,-79.293109,Hobby Shop
